id,choice,L_prob,R_prob,L_effort,R_effort,L_PD,R_PD,L_ED,R_ED,H,L_SV,R_SV,diff_SV,diff_prob,diff_effort,H_dichotomized,diff_ED,diff_PD
"1",1,30,40,20,25,.145854,.173922,.224664,.18394,.503258,.9830484,.9597361,-.0233123,10,5,"Low",.0407248,.0280679
"1",1,40,60,20,25,.173922,.247301,.224664,.18394,0,1.172224,1.364657,.1924326,20,5,"Low",.0407248,.0733792
"1",0,50,30,20,10,.207391,.145854,.224664,.33516,0,1.397805,1.466536,.068731,-20,-10,"Low",.1104955,.0615372
"1",0,60,70,10,30,.247301,.294892,.33516,.150597,.503258,2.486567,1.332295,-1.154272,10,20,"Low",.1845629,.0475902
"1",0,50,30,20,10,.207391,.145854,.224664,.33516,0,1.397805,1.466536,.068731,-20,-10,"Low",.1104955,.0615372
"1",1,30,70,20,30,.145854,.294892,.224664,.150597,0,.9830484,1.332295,.3492467,40,10,"Low",.0740674,.1490374
"1",0,70,30,30,20,.294892,.145854,.150597,.224664,0,1.332295,.9830484,-.3492467,-40,-10,"Low",.0740674,.1490374
"1",1,50,40,30,25,.207391,.173922,.150597,.18394,.954434,.9369766,.9597361,.0227595,-10,-5,"High",.0333426,.0334692
"1",0,60,40,25,20,.247301,.173922,.18394,.224664,0,1.364657,1.172224,-.1924326,-20,-5,"Low",.0407248,.0733792
"1",0,70,30,10,30,.294892,.145854,.33516,.150597,0,2.965077,.6589571,-2.30612,-40,20,"Low",.1845629,.1490374
"1",0,60,70,15,20,.247301,.294892,.274406,.224664,.764205,2.035829,1.987551,-.048278,10,5,"Low",.0497413,.0475902
"1",1,60,70,10,15,.247301,.294892,.33516,.274406,.764205,2.486567,2.4276,-.0589671,10,5,"Low",.0607542,.0475902
"1",0,60,50,15,20,.247301,.207391,.274406,.224664,0,2.035829,1.397805,-.6380237,-10,5,"Low",.0497413,.03991
"1",0,50,70,10,25,.207391,.294892,.33516,.18394,.991076,2.08528,1.627269,-.4580108,20,15,"High",.1512203,.0875002
"1",1,60,50,30,20,.247301,.207391,.150597,.224664,0,1.117287,1.397805,.2805183,-10,-10,"Low",.0740674,.03991
"1",1,30,60,10,30,.145854,.247301,.33516,.150597,.811278,1.466536,1.117287,-.3492492,30,20,"Low",.1845629,.1014472
"1",1,40,50,25,30,.173922,.207391,.18394,.150597,.954434,.9597361,.9369766,-.0227595,10,5,"High",.0333426,.0334692
"1",0,60,70,10,15,.247301,.294892,.33516,.274406,.764205,2.486567,2.4276,-.0589671,10,5,"Low",.0607542,.0475902
"1",0,50,40,25,30,.207391,.173922,.18394,.150597,0,1.144426,.7857655,-.3586604,-10,5,"Low",.0333426,.0334692
"1",1,70,60,20,15,.294892,.247301,.224664,.274406,.764205,1.987551,2.035829,.048278,-10,-5,"Low",.0497413,.0475902
"1",0,50,40,25,30,.207391,.173922,.18394,.150597,0,1.144426,.7857655,-.3586604,-10,5,"Low",.0333426,.0334692
"1",1,50,60,20,15,.207391,.247301,.224664,.274406,0,1.397805,2.035829,.6380237,10,-5,"Low",.0497413,.03991
"1",1,30,40,20,15,.145854,.173922,.224664,.274406,0,.9830484,1.431758,.4487095,10,-5,"Low",.0497413,.0280679
"1",1,30,40,20,25,.145854,.173922,.224664,.18394,.503258,.9830484,.9597361,-.0233123,10,5,"Low",.0407248,.0280679
"1",1,40,30,30,10,.173922,.145854,.150597,.33516,0,.7857655,1.466536,.6807703,-10,-20,"Low",.1845629,.0280679
"1",1,30,40,10,15,.145854,.173922,.33516,.274406,.811278,1.466536,1.431758,-.0347779,10,5,"Low",.0607542,.0280679
"1",0,50,40,30,25,.207391,.173922,.150597,.18394,.954434,.9369766,.9597361,.0227595,-10,-5,"High",.0333426,.0334692
"1",1,60,30,30,15,.247301,.145854,.150597,.274406,.591673,1.117287,1.200698,.0834115,-30,-15,"Low",.1238087,.1014472
"1",0,60,70,10,30,.247301,.294892,.33516,.150597,.503258,2.486567,1.332295,-1.154272,10,20,"Low",.1845629,.0475902
"1",1,40,50,30,25,.173922,.207391,.150597,.18394,0,.7857655,1.144426,.3586604,10,-5,"Low",.0333426,.0334692
"1",0,70,40,25,15,.294892,.173922,.18394,.274406,0,1.627269,1.431758,-.195511,-30,-10,"Low",.0904661,.1209695
"1",1,40,30,30,10,.173922,.145854,.150597,.33516,0,.7857655,1.466536,.6807703,-10,-20,"Low",.1845629,.0280679
"1",0,60,40,25,20,.247301,.173922,.18394,.224664,0,1.364657,1.172224,-.1924326,-20,-5,"Low",.0407248,.0733792
"1",0,70,50,15,10,.294892,.207391,.274406,.33516,0,2.4276,2.08528,-.34232,-20,-5,"Low",.0607542,.0875002
"1",1,30,40,10,15,.145854,.173922,.33516,.274406,.811278,1.466536,1.431758,-.0347779,10,5,"Low",.0607542,.0280679
"1",1,30,60,10,30,.145854,.247301,.33516,.150597,.811278,1.466536,1.117287,-.3492492,30,20,"Low",.1845629,.1014472
"1",0,40,30,25,20,.173922,.145854,.18394,.224664,.503258,.9597361,.9830484,.0233123,-10,-5,"Low",.0407248,.0280679
"1",1,30,50,10,20,.145854,.207391,.33516,.224664,0,1.466536,1.397805,-.068731,20,10,"Low",.1104955,.0615372
"1",1,50,60,20,15,.207391,.247301,.224664,.274406,0,1.397805,2.035829,.6380237,10,-5,"Low",.0497413,.03991
"1",1,70,60,20,15,.294892,.247301,.224664,.274406,.764205,1.987551,2.035829,.048278,-10,-5,"Low",.0497413,.0475902
"1",0,70,50,15,10,.294892,.207391,.274406,.33516,0,2.4276,2.08528,-.34232,-20,-5,"Low",.0607542,.0875002
"1",1,30,60,15,30,.145854,.247301,.274406,.150597,.591673,1.200698,1.117287,-.0834115,30,15,"Low",.1238087,.1014472
"1",1,30,60,10,30,.145854,.247301,.33516,.150597,.811278,1.466536,1.117287,-.3492492,30,20,"Low",.1845629,.1014472
